line	ord	function	method	current_k	nodes_A_precedent	nodes_B_scalar	proposed_k_A	proposed_k_B	delta_A	delta_B	nested_calc_results	non_calc_calls_in_tree	structurally_zero_subtree	site_text
337	1	Work.copyCost	add	8	5	4	16	8	-8	0	0			this.calc(8).add(cost, 3 + key.length)
352	1	Work.token	add	16	10	10	32	32	-16	-16	1			this.calc(16).add(cost, typeof part === 'string' ? 2 + this.calc(8).times(7, part.length) : 25)
352	2	Work.token	times	8	3	2	8	8	0	0	0			this.calc(8).times(7, part.length)
376	1	sortBill	add	16	9	8	32	16	-16	0	0	call:Math.ceil		work.calc(16).add(runs, Math.ceil(n / (2 * width)))
379	1	sortBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(n, levels)
380	1	sortBill	add	8	2	2	8	8	0	0	0			work.calc(8).add(13, comparator)
382	1	sortBill	plus	64	5	5	16	16	48	48	4			work.calc(64).plus(10, work.calc(8).times(3, n), work.calc(8).times(8, levels), work.calc(8).times(19, runs), work.calc(32).times(coefficient, merges))
382	2	sortBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(3, n)
382	3	sortBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(8, levels)
382	4	sortBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(19, runs)
383	1	sortBill	times	32	2	2	8	8	24	24	0			work.calc(32).times(coefficient, merges)
432	1	sortedOutput	add	16	2	2	8	8	8	8	1			work.calc(16).add(10, work.calc(8).times(2, count))
432	2	sortedOutput	times	8	2	2	8	8	0	0	0			work.calc(8).times(2, count)
513	1	company	add	8	3	2	8	8	0	0	0			work.calc(8).add(chars, id.length)
514	1	company	add	8	3	2	8	8	0	0	0			work.calc(8).add(chars, id.length)
516	1	company	plus	64	5	5	16	16	48	48	3			work.calc(64).plus(5, work.calc(8).times(6, productions.length), work.calc(8).times(4, count), chars, work.calc(32).times(count, count + work.calc(8).times(2, chars)))
516	2	company	times	8	3	2	8	8	0	0	0			work.calc(8).times(6, productions.length)
516	3	company	times	8	2	2	8	8	0	0	0			work.calc(8).times(4, count)
517	1	company	times	32	4	4	8	8	24	24	1			work.calc(32).times(count, count + work.calc(8).times(2, chars))
517	2	company	times	8	2	2	8	8	0	0	0			work.calc(8).times(2, chars)
526	1	writers	add	8	3	2	8	8	0	0	0			work.calc(8).add(chars, id.length)
527	1	writers	plus	64	6	4	16	8	48	56	1			work.calc(64).plus(10, project.writerIds.length, work.calc(32).times(project.writerIds.length, 2 + project.writerId.length), chars)
527	2	writers	times	32	8	4	16	8	16	24	0			work.calc(32).times(project.writerIds.length, 2 + project.writerId.length)
783	1	prepare	times	32	5	2	16	8	16	24	0			work.calc(32).times(picture.workflow.reservations.length, 42)
901	1	dimensionRecordFacts	add	8	5	4	16	8	-8	0	0			work.calc(8).add(copy!, 3 + key.length)
958	1	staticDimensionFacts	add	8	3	2	8	8	0	0	0			work.calc(8).add(capacity, row.capacity)
967	1	staticDimensionFacts	add	8	4	2	8	8	0	0	0			work.calc(8).add(provides, row.providesFacilityIds.length)
973	1	staticDimensionFacts	add	8	4	2	8	8	0	0	0			work.calc(8).add(cells, row.cells.length)
1107	1	workflowUpdate	plus	64	7	5	16	16	48	48	1			work.calc(64).plus(d.operationsCopy, 11, 2, d.n, work.calc(32).times(d.n, 2 + work.calc(8).equality(d.dp)))
1107	2	workflowUpdate	times	32	5	4	16	8	16	24	1			work.calc(32).times(d.n, 2 + work.calc(8).equality(d.dp))
1107	3	workflowUpdate	equality	8	2	1	8	8	0	0	0			work.calc(8).equality(d.dp)
1113	1	geometryBill	plus	64	9	7	32	16	32	48	4			work.calc(64).plus(50, work.calc(8).times(d.structures, 8), work.calc(32).times(d.provides, 2 + work.calc(8).equality(d.d)), work.calc(32).times(d.placements, 3 + work.calc(8).equality(d.d)), work.calc(8).times(d.cells, 10), d.structures, d.placements)
1113	2	geometryBill	times	8	3	2	8	8	0	0	0			work.calc(8).times(d.structures, 8)
1113	3	geometryBill	times	32	5	4	16	8	16	24	1			work.calc(32).times(d.provides, 2 + work.calc(8).equality(d.d))
1113	4	geometryBill	equality	8	2	1	8	8	0	0	0			work.calc(8).equality(d.d)
1114	1	geometryBill	times	32	5	4	16	8	16	24	1			work.calc(32).times(d.placements, 3 + work.calc(8).equality(d.d))
1114	2	geometryBill	equality	8	2	1	8	8	0	0	0			work.calc(8).equality(d.d)
1114	3	geometryBill	times	8	3	2	8	8	0	0	0			work.calc(8).times(d.cells, 10)
1115	1	geometryBill	plus	64	3	3	8	8	56	56	2			work.calc(64).plus(130, work.calc(32).times(2, work.calc(8).equality(d.d)), work.calc(8).times(2, body))
1115	2	geometryBill	times	32	2	2	8	8	24	24	1			work.calc(32).times(2, work.calc(8).equality(d.d))
1115	3	geometryBill	equality	8	2	1	8	8	0	0	0			work.calc(8).equality(d.d)
1115	4	geometryBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(2, body)
1133	1	arrivalBill	add	32	2	2	8	8	24	24	1			work.calc(32).add(18, work.calc(32).times(d.n, 14 + work.calc(32).times(4, work.calc(8).equality(d.d))))
1133	2	arrivalBill	times	32	5	4	16	8	16	24	1			work.calc(32).times(d.n, 14 + work.calc(32).times(4, work.calc(8).equality(d.d)))
1133	3	arrivalBill	times	32	2	2	8	8	24	24	1			work.calc(32).times(4, work.calc(8).equality(d.d))
1133	4	arrivalBill	equality	8	2	1	8	8	0	0	0			work.calc(8).equality(d.d)
1138	1	arrivalBill	add	32	2	2	8	8	24	24	1			work.calc(32).add(common, work.calc(32).times(possible, work.calc(64).plus(geometryBill(d, work), 70, d.workflowCopy, d.taskCopy, workflowUpdate(d, work))))
1139	1	arrivalBill	times	32	2	2	8	8	24	24	1			work.calc(32).times(possible, work.calc(64).plus(geometryBill(d, work), 70, d.workflowCopy, d.taskCopy, workflowUpdate(d, work)))
1139	2	arrivalBill	plus	64	13	11	32	32	32	32	0	helper:geometryBill;helper:workflowUpdate		work.calc(64).plus(geometryBill(d, work), 70, d.workflowCopy, d.taskCopy, workflowUpdate(d, work))
1143	1	orderBill	plus	64	13	12	32	32	32	32	3	helper:sortBill		work.calc(64).plus(4, work.calc(8).times(2, d.n), work.calc(32).times(d.n, 67 + 2 * d.dp), sortBill(d.n, 28 + 2 * work.calc(8).equality(d.dp), work))
1143	2	orderBill	times	8	3	2	8	8	0	0	0			work.calc(8).times(2, d.n)
1143	3	orderBill	times	32	8	6	16	16	16	16	0			work.calc(32).times(d.n, 67 + 2 * d.dp)
1144	1	orderBill	equality	8	2	1	8	8	0	0	0			work.calc(8).equality(d.dp)
1159	1	restrictedSweepBill	add	16	9	6	32	16	-16	0	0			work.calc(16).add(taskText, 1 + workflow.shootingTask.status.length + 9)
1161	1	restrictedSweepBill	plus	64	4	3	8	8	56	56	0			work.calc(64).plus(copies, d.pCopy, 15)
1162	1	restrictedSweepBill	plus	64	7	5	16	16	48	48	0			work.calc(64).plus(takeCopies, d.workflowCopy, 13, d.taskCopy, 7)
1165	1	restrictedSweepBill	plus	64	4	3	8	8	56	56	0			work.calc(64).plus(copies, d.pCopy, 15)
1167	1	restrictedSweepBill	keyBill	8	4	2	8	8	0	0	0			work.calc(8).keyBill(commitments.size, d.dp)
1168	1	restrictedSweepBill	plus	64	4	3	8	8	56	56	0			work.calc(64).plus(copies, d.pCopy, 15)
1172	1	restrictedSweepBill	times	32	5	4	16	8	16	24	0			work.calc(32).times(d.n, 1 + delta)
1173	1	restrictedSweepBill	add	8	2	2	8	8	0	0	2			work.calc(8).add(work.calc(32).times((4 + delta) * d.n + active + t + c + r + t, work.calc(8).keyBill(d.n, d.dp)), work.calc(32).times(o, work.calc(8).keyBill(commitments.size, d.dp)))
1173	2	restrictedSweepBill	times	32	17	16	64	32	-32	0	1			work.calc(32).times((4 + delta) * d.n + active + t + c + r + t, work.calc(8).keyBill(d.n, d.dp))
1173	3	restrictedSweepBill	keyBill	8	4	2	8	8	0	0	0			work.calc(8).keyBill(d.n, d.dp)
1174	1	restrictedSweepBill	times	32	2	2	8	8	24	24	1			work.calc(32).times(o, work.calc(8).keyBill(commitments.size, d.dp))
1174	2	restrictedSweepBill	keyBill	8	4	2	8	8	0	0	0			work.calc(8).keyBill(commitments.size, d.dp)
1175	1	restrictedSweepBill	plus	64	39	36	>64	>64	None	None	0			work.calc(64).plus(5, d.n, 3 * (1 + delta) + 1, visits, d.n, 4 * active, d.n - active, 3 * q, t, 3 * (c + o), 2 * c, 2 * o, 3 * r, 1)
1177	1	restrictedSweepBill	plus	64	18	18	64	64	0	0	8	helper:orderBill		work.calc(64).plus(orderBill(d, work), assoc, work.calc(32).times(active, 1 + work.calc(32).times(d.n, 1 + work.calc(8).equality(d.dp))), work.calc(32).times(t + r, workflowUpdate(d, work)), copies, takeCopies, work.calc(32).times(active + c, work.calc(8).equality(14)), taskText, work.calc(32).times(1 + r, 15), 65, work.calc(8).times(6, d.n), work.calc(8).times(4, t), work.calc(8).times(2, r), control, work.calc(8).times(11, r))
1177	2	restrictedSweepBill	times	32	4	4	8	8	24	24	1			work.calc(32).times(active, 1 + work.calc(32).times(d.n, 1 + work.calc(8).equality(d.dp)))
1177	3	restrictedSweepBill	times	32	5	4	16	8	16	24	1			work.calc(32).times(d.n, 1 + work.calc(8).equality(d.dp))
1177	4	restrictedSweepBill	equality	8	2	1	8	8	0	0	0			work.calc(8).equality(d.dp)
1178	1	restrictedSweepBill	times	32	7	7	16	16	16	16	0	helper:workflowUpdate		work.calc(32).times(t + r, workflowUpdate(d, work))
1179	1	restrictedSweepBill	times	32	4	4	8	8	24	24	1			work.calc(32).times(active + c, work.calc(8).equality(14))
1179	2	restrictedSweepBill	equality	8	1	1	8	8	0	0	0			work.calc(8).equality(14)
1179	3	restrictedSweepBill	times	32	4	4	8	8	24	24	0			work.calc(32).times(1 + r, 15)
1180	1	restrictedSweepBill	times	8	3	2	8	8	0	0	0			work.calc(8).times(6, d.n)
1180	2	restrictedSweepBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(4, t)
1180	3	restrictedSweepBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(2, r)
1180	4	restrictedSweepBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(11, r)
1196	1	allocationBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(4, rawOwners)
1197	1	allocationBill	add	8	3	2	8	8	0	0	1			work.calc(8).add(d.external, work.calc(8).times(3, other))
1197	2	allocationBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(3, other)
1198	1	allocationBill	equality	8	2	1	8	8	0	0	0			work.calc(8).equality(d.d)
1198	2	allocationBill	add	8	3	2	8	8	0	0	0			work.calc(8).add(d.d, 26)
1198	3	allocationBill	add	8	2	2	8	8	0	0	1			work.calc(8).add(50, work.calc(8).times(2, d.d))
1198	4	allocationBill	times	8	3	2	8	8	0	0	0			work.calc(8).times(2, d.d)
1201	1	allocationBill	plus	64	10	9	32	32	32	32	2			work.calc(64).plus(40, 1 + claims, 2 * d.n, work.calc(32).times(2 * rawOwners, text), work.calc(32).times(claims, work.calc(8).add(89, work.calc(8).times(2, keyConstruction))))
1201	2	allocationBill	times	32	4	4	8	8	24	24	0			work.calc(32).times(2 * rawOwners, text)
1202	1	allocationBill	times	32	2	2	8	8	24	24	1			work.calc(32).times(claims, work.calc(8).add(89, work.calc(8).times(2, keyConstruction)))
1202	2	allocationBill	add	8	2	2	8	8	0	0	1			work.calc(8).add(89, work.calc(8).times(2, keyConstruction))
1202	3	allocationBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(2, keyConstruction)
1203	1	allocationBill	plus	64	6	5	16	16	48	48	2			work.calc(64).plus(raw, 4, d.external, work.calc(32).times(claims, 6 + 3 * text), work.calc(32).times(occupied, work.calc(8).add(5, work.calc(32).times(3, work.calc(8).keyBill(occupied, keyLength)))))
1203	2	allocationBill	times	32	6	6	16	16	16	16	0			work.calc(32).times(claims, 6 + 3 * text)
1204	1	allocationBill	times	32	2	2	8	8	24	24	1			work.calc(32).times(occupied, work.calc(8).add(5, work.calc(32).times(3, work.calc(8).keyBill(occupied, keyLength))))
1204	2	allocationBill	add	8	2	2	8	8	0	0	1			work.calc(8).add(5, work.calc(32).times(3, work.calc(8).keyBill(occupied, keyLength)))
1204	3	allocationBill	times	32	2	2	8	8	24	24	1			work.calc(32).times(3, work.calc(8).keyBill(occupied, keyLength))
1204	4	allocationBill	keyBill	8	2	2	8	8	0	0	0			work.calc(8).keyBill(occupied, keyLength)
1208	1	allocationBill	add	8	2	2	8	8	0	0	1			work.calc(8).add(17, work.calc(32).times(d.t + (wrapOnly || retainedDevelopment || singlePostExit ? 0 : d.n), 1 + 2 * text))
1208	2	allocationBill	times	32	17	15	64	32	-32	0	0			work.calc(32).times(d.t + (wrapOnly || retainedDevelopment || singlePostExit ? 0 : d.n), 1 + 2 * text)
1209	1	allocationBill	plus	64	3	3	8	8	56	56	2			work.calc(64).plus(30, work.calc(32).times(d.adoptions, 8 + 3 * text), work.calc(32).times(2 * d.placements, 8 + 4 * text))
1209	2	allocationBill	times	32	7	6	16	16	16	16	0			work.calc(32).times(d.adoptions, 8 + 3 * text)
1209	3	allocationBill	times	32	9	8	32	16	0	16	0			work.calc(32).times(2 * d.placements, 8 + 4 * text)
1210	1	allocationBill	add	8	2	2	8	8	0	0	0			work.calc(8).add(selection, adoption)
1218	1	allocationBill	times	32	12	10	32	32	0	0	1			work.calc(32).times(wrapOnly ? (singleWrapSlot ? 1 : d.capacity) : 3 * d.capacity, work.calc(64).plus(5, keyConstruction, work.calc(32).times(2, work.calc(8).keyBill(occupied + 2, keyLength))))
1219	1	allocationBill	plus	64	3	3	8	8	56	56	1			work.calc(64).plus(5, keyConstruction, work.calc(32).times(2, work.calc(8).keyBill(occupied + 2, keyLength)))
1219	2	allocationBill	times	32	2	2	8	8	24	24	1			work.calc(32).times(2, work.calc(8).keyBill(occupied + 2, keyLength))
1219	3	allocationBill	keyBill	8	4	4	8	8	0	0	0			work.calc(8).keyBill(occupied + 2, keyLength)
1225	1	allocationBill	plus	16	3	3	8	8	8	8	1			work.calc(16).plus(20, 20, work.calc(8).keyBill(2, 19))
1225	2	allocationBill	keyBill	8	2	2	8	8	0	0	0			work.calc(8).keyBill(2, 19)
1227	1	allocationBill	add	8	2	2	8	8	0	0	1			work.calc(8).add(20, work.calc(64).plus(20, work.calc(8).times(2, text), work.calc(32).times(d.f, 2 + text), work.calc(8).keyBill(2, 19), keyConstruction, work.calc(8).keyBill(occupied, keyLength)))
1227	2	allocationBill	plus	64	6	6	16	16	48	48	4			work.calc(64).plus(20, work.calc(8).times(2, text), work.calc(32).times(d.f, 2 + text), work.calc(8).keyBill(2, 19), keyConstruction, work.calc(8).keyBill(occupied, keyLength))
1227	3	allocationBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(2, text)
1227	4	allocationBill	times	32	5	4	16	8	16	24	0			work.calc(32).times(d.f, 2 + text)
1228	1	allocationBill	keyBill	8	2	2	8	8	0	0	0			work.calc(8).keyBill(2, 19)
1228	2	allocationBill	keyBill	8	2	2	8	8	0	0	0			work.calc(8).keyBill(occupied, keyLength)
1229	1	allocationBill	add	8	2	2	8	8	0	0	1			work.calc(8).add(20, work.calc(32).times(2, work.calc(64).plus(20, work.calc(8).times(2, text), work.calc(32).times(d.f, 2 + text), work.calc(8).keyBill(2, 19), keyConstruction, work.calc(8).keyBill(occupied + 2, keyLength))))
1229	2	allocationBill	times	32	2	2	8	8	24	24	1			work.calc(32).times(2, work.calc(64).plus(20, work.calc(8).times(2, text), work.calc(32).times(d.f, 2 + text), work.calc(8).keyBill(2, 19), keyConstruction, work.calc(8).keyBill(occupied + 2, keyLength)))
1229	3	allocationBill	plus	64	6	6	16	16	48	48	4			work.calc(64).plus(20, work.calc(8).times(2, text), work.calc(32).times(d.f, 2 + text), work.calc(8).keyBill(2, 19), keyConstruction, work.calc(8).keyBill(occupied + 2, keyLength))
1229	4	allocationBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(2, text)
1229	5	allocationBill	times	32	5	4	16	8	16	24	0			work.calc(32).times(d.f, 2 + text)
1230	1	allocationBill	keyBill	8	2	2	8	8	0	0	0			work.calc(8).keyBill(2, 19)
1230	2	allocationBill	keyBill	8	4	4	8	8	0	0	0			work.calc(8).keyBill(occupied + 2, keyLength)
1231	1	allocationBill	plus	64	3	3	8	8	56	56	2			work.calc(64).plus(20, work.calc(32).times(d.n, work.calc(64).plus(9, text, work.calc(8).times(2, text), work.calc(8).keyBill(d.n, d.d))), work.calc(32).times(d.f, work.calc(64).plus(5, text, work.calc(32).times(d.sets, work.calc(64).plus(14, work.calc(8).times(3, text), work.calc(8).keyBill(d.n, d.d))))))
1231	2	allocationBill	times	32	3	2	8	8	24	24	1			work.calc(32).times(d.n, work.calc(64).plus(9, text, work.calc(8).times(2, text), work.calc(8).keyBill(d.n, d.d)))
1231	3	allocationBill	plus	64	4	4	8	8	56	56	2			work.calc(64).plus(9, text, work.calc(8).times(2, text), work.calc(8).keyBill(d.n, d.d))
1231	4	allocationBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(2, text)
1231	5	allocationBill	keyBill	8	4	2	8	8	0	0	0			work.calc(8).keyBill(d.n, d.d)
1232	1	allocationBill	times	32	3	2	8	8	24	24	1			work.calc(32).times(d.f, work.calc(64).plus(5, text, work.calc(32).times(d.sets, work.calc(64).plus(14, work.calc(8).times(3, text), work.calc(8).keyBill(d.n, d.d)))))
1232	2	allocationBill	plus	64	3	3	8	8	56	56	1			work.calc(64).plus(5, text, work.calc(32).times(d.sets, work.calc(64).plus(14, work.calc(8).times(3, text), work.calc(8).keyBill(d.n, d.d))))
1232	3	allocationBill	times	32	3	2	8	8	24	24	1			work.calc(32).times(d.sets, work.calc(64).plus(14, work.calc(8).times(3, text), work.calc(8).keyBill(d.n, d.d)))
1232	4	allocationBill	plus	64	3	3	8	8	56	56	2			work.calc(64).plus(14, work.calc(8).times(3, text), work.calc(8).keyBill(d.n, d.d))
1232	5	allocationBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(3, text)
1232	6	allocationBill	keyBill	8	4	2	8	8	0	0	0			work.calc(8).keyBill(d.n, d.d)
1235	1	allocationBill	plus	64	17	16	64	32	0	32	2			work.calc(64).plus(occupancy, 3 + 3 * d.f, work.calc(8).times(d.f, callback), facilitySort, retention, singlePostExit ? 0 : work.calc(32).times(wrapOnly || retainedDevelopment ? 1 : 2, work.calc(32).times(d.f, 2 + text)), slots, composite, 140)
1235	2	allocationBill	times	8	3	2	8	8	0	0	0			work.calc(8).times(d.f, callback)
1236	1	allocationBill	times	32	7	7	16	16	16	16	1			work.calc(32).times(wrapOnly || retainedDevelopment ? 1 : 2, work.calc(32).times(d.f, 2 + text))
1236	2	allocationBill	times	32	5	4	16	8	16	24	0			work.calc(32).times(d.f, 2 + text)
1242	1	smallTransitionBill	add	8	2	2	8	8	0	0	0			work.calc(8).add(before, after)
1243	1	smallTransitionBill	add	8	3	2	8	8	0	0	0			work.calc(8).add(d.d, 26)
1244	1	smallTransitionBill	add	16	2	2	8	8	8	8	1			work.calc(16).add(50, work.calc(8).times(2, d.d))
1244	2	smallTransitionBill	times	8	3	2	8	8	0	0	0			work.calc(8).times(2, d.d)
1247	1	smallTransitionBill	plus	64	4	4	8	8	56	56	3			work.calc(64).plus(20, work.calc(16).times(keys, 8 + construction), work.calc(16).times(work.calc(8).times(2, work.calc(8).times(before, after)), work.calc(8).add(2, work.calc(8).equality(keyLength))), work.calc(16).times(emitted, LITERAL.reservationEvent + LITERAL.stampedEvent + APPEND + 5))
1247	2	smallTransitionBill	times	16	4	4	8	8	8	8	0			work.calc(16).times(keys, 8 + construction)
1248	1	smallTransitionBill	times	16	2	2	8	8	8	8	2			work.calc(16).times(work.calc(8).times(2, work.calc(8).times(before, after)), work.calc(8).add(2, work.calc(8).equality(keyLength)))
1248	2	smallTransitionBill	times	8	2	2	8	8	0	0	1			work.calc(8).times(2, work.calc(8).times(before, after))
1248	3	smallTransitionBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(before, after)
1249	1	smallTransitionBill	add	8	2	2	8	8	0	0	1			work.calc(8).add(2, work.calc(8).equality(keyLength))
1249	2	smallTransitionBill	equality	8	1	1	8	8	0	0	0			work.calc(8).equality(keyLength)
1250	1	smallTransitionBill	times	16	10	8	32	16	-16	0	0			work.calc(16).times(emitted, LITERAL.reservationEvent + LITERAL.stampedEvent + APPEND + 5)
1265	1	hasUsableRehearsalSet	add	16	2	2	8	8	8	8	1			work.calc(16).add(20, work.calc(8).add(9, set.status.length))
1265	2	hasUsableRehearsalSet	add	8	4	2	8	8	0	0	0			work.calc(8).add(9, set.status.length)
1308	1	singleEarlySweepBill	add	8	3	2	8	8	0	0	0			work.calc(8).add(stageCapacity, facility.capacity)
1310	1	singleEarlySweepBill	add	8	3	2	8	8	0	0	0			work.calc(8).add(sceneryCapacity, facility.capacity)
1320	1	singleEarlySweepBill	equality	8	2	1	8	8	0	0	0			work.calc(8).equality(d.d)
1320	2	singleEarlySweepBill	equality	8	2	1	8	8	0	0	0			work.calc(8).equality(d.dp)
1321	1	singleEarlySweepBill	equality	8	1	1	8	8	0	0	0			work.calc(8).equality(19)
1321	2	singleEarlySweepBill	equality	8	1	1	8	8	0	0	0			work.calc(8).equality(14)
1322	1	singleEarlySweepBill	keyBill	8	2	2	8	8	0	0	0			work.calc(8).keyBill(1, 19)
1323	1	singleEarlySweepBill	add	8	3	2	8	8	0	0	0			work.calc(8).add(d.d, 26)
1324	1	singleEarlySweepBill	add	16	2	2	8	8	8	8	1			work.calc(16).add(50, work.calc(8).times(2, d.d))
1324	2	singleEarlySweepBill	times	8	3	2	8	8	0	0	0			work.calc(8).times(2, d.d)
1328	1	singleEarlySweepBill	keyBill	16	8	7	16	16	0	0	0			work.calc(16).keyBill(d.external + (shooting ? 1 : 0), keyLength)
1331	1	singleEarlySweepBill	keyBill	8	3	2	8	8	0	0	0			work.calc(8).keyBill(1, d.dp)
1341	1	singleEarlySweepBill	plus	64	7	7	16	16	48	48	2			work.calc(64).plus(60, 2 * text, capabilityText, work.calc(32).times(rawClaims, work.calc(64).plus(LITERAL.claim, APPEND, 36, 2 * keyConstruction, 2 * text)), work.calc(16).times(d.external, work.calc(8).add(4, work.calc(8).keyBill(d.external, keyLength))))
1342	1	singleEarlySweepBill	times	32	2	2	8	8	24	24	1			work.calc(32).times(rawClaims, work.calc(64).plus(LITERAL.claim, APPEND, 36, 2 * keyConstruction, 2 * text))
1342	2	singleEarlySweepBill	plus	64	10	9	32	32	32	32	0			work.calc(64).plus(LITERAL.claim, APPEND, 36, 2 * keyConstruction, 2 * text)
1343	1	singleEarlySweepBill	times	16	3	2	8	8	8	8	1			work.calc(16).times(d.external, work.calc(8).add(4, work.calc(8).keyBill(d.external, keyLength)))
1343	2	singleEarlySweepBill	add	8	2	2	8	8	0	0	1			work.calc(8).add(4, work.calc(8).keyBill(d.external, keyLength))
1343	3	singleEarlySweepBill	keyBill	8	3	2	8	8	0	0	0			work.calc(8).keyBill(d.external, keyLength)
1346	1	singleEarlySweepBill	plus	32	3	3	8	8	24	24	1			work.calc(32).plus(12, phaseText, work.calc(16).times(d.t, 8 + 2 * text))
1346	2	singleEarlySweepBill	times	16	7	6	16	16	0	0	0			work.calc(16).times(d.t, 8 + 2 * text)
1347	1	singleEarlySweepBill	plus	64	12	11	32	32	32	32	1	helper:sortBill		work.calc(64).plus(3, work.calc(16).times(d.f, 3 + callback), sortBill(d.f, 6 + 2 * text, work))
1347	2	singleEarlySweepBill	times	16	5	4	16	8	0	8	0			work.calc(16).times(d.f, 3 + callback)
1355	1	singleEarlySweepBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(2, stageCapacity)
1360	1	singleEarlySweepBill	add	8	2	2	8	8	0	0	0			work.calc(8).add(stages, 1)
1364	1	singleEarlySweepBill	times	16	2	2	8	8	8	8	1			work.calc(16).times(slots, work.calc(32).plus(5, keyConstruction, work.calc(8).times(2, occupiedKey)))
1365	1	singleEarlySweepBill	plus	32	3	3	8	8	24	24	1			work.calc(32).plus(5, keyConstruction, work.calc(8).times(2, occupiedKey))
